symbol,name
AAMI,Acadian Asset Management Inc.
AAP,"Advance Auto Parts, Inc."
AAT,American Assets Trust
ABCB,Ameris Bancorp
ABG,Asbury Automotive Group
ABM,"ABM Industries, Inc."
ABR,Arbor Realty Trust
ACA,"Arcosa, Inc."
ACAD,Acadia Pharmaceuticals
ACHC,Acadia Healthcare
ACIW,ACI Worldwide
ACLS,"Axcelis Technologies, Inc."
ACMR,"ACM Research, Inc."
ACT,"Enact Holdings, Inc."
ADAM,"Adamas Trust, Inc."
ADEA,"Adeia, Inc."
ADIG,ADI Global Distribution
ADMA,"ADMA Biologics, Inc."
ADNT,Adient
ADT,ADT Inc.
ADUS,Addus HomeCare Corp.
AEO,American Eagle Outfitters
AESI,"Atlas Energy Solutions, Inc."
AGNT,"eXp World Holdings, Inc."
AGO,Assured Guaranty Ltd.
AGX,"Argan, Inc."
AGYS,"Agilysys, Inc."
AHCO,AdaptHealth Corp.
AIN,Albany International Corp.
AIR,AAR Corp.
AKR,Acadia Realty Trust
ALG,Alamo Group
ALGT,Allegiant Travel Company
ALHC,"Alignment Healthcare, Inc."
ALKS,Alkermes plc
ALRM,"Alarm.Com, Inc."
AMN,"Amn Healthcare Services, Inc."
AMPH,"Amphstar Pharmaceuticals, Inc."
AMR,"Alpha Metallurgical Resources, Inc."
AMRX,Amneal Pharmaceuticals
AMSF,"Amerisafe, Inc."
AMTM,Amentum
ANDE,"The Andersons, Inc."
ANIP,"ANI Pharmaceuticals, Inc."
AORT,Artivion
AOSL,"Alpha and Omega Semiconductor, Ltd."
APAM,"Artisan Partners Asset Management, Inc."
APLE,"Apple Hospitality REIT, Inc."
APOG,"Apogee Enterprises, Inc."
ARCB,ArcBest Corp.
ARLO,Arlo Technologies
AROC,"Archrock, Inc."
ARR,Armour Residential REIT
ASO,Academy Sports + Outdoors
ASTE,"Astec Industries, Inc."
ASTH,"Astrana Health, Inc."
ATEN,"A10 Networks, Inc."
ATMU,Atmus Filtration Technologies Inc.
AUB,"Atlantic Union Bankshares, Corp."
AVA,Avista Corporation
AWI,"Armstrong World Industries, Inc."
AWR,American States Water Company
AX,"Axos Financial, Inc."
AZTA,"Azenta, Inc."
AZZ,"AZZ, Inc."
BANC,"Banc Of California, Inc."
BANF,Bancfirst Corp
BANR,Banner Corporation
BBT,Beacon Financial Corp.
BCC,Boise Cascade
BCPC,Balchem Corporation
BFAM,Bright Horizons Family Solutions Inc.
BFH,"Bread Financial Holdings, Inc."
BFS,"Saul Centers, Inc."
BGC,"BGC Group, Inc."
BHE,"Benchmark Electronics, Inc."
BJRI,"BJ's Restaurants, Inc."
BKE,"The Buckle, Inc."
BKU,"BankUnited, Inc."
