symbol,name,added,removed
MBIN,Merchants Bancorp,2026-02-11,
MC,Moelis & Company,2023-06-19,
MCRI,"Monarch Casino & Resort, Inc.",,
MCS,Marcus Corporation,,2024-06-24
MCW,Mister Car Wash,2022-10-03,2026-05-19
MCY,Mercury General,2022-09-19,
MD,Pediatrix Medical Group,2020-11-13,
MDC,MDC Holdings,,2024-04-22
MDP,Meredith Corporation,2020-05-01,2021-12-02
MDR,McDermott International,,2020-01-27
MDRX,Veradigm,2020-06-22,2024-03-04
MDU,"MDU Resources Group, Inc.",2024-10-11,
MED,Medifast,,2024-06-24
MEDP,Medpace,,2020-09-21
MEI,Methode Electronics,,2024-06-24
MERC,Mercer International,,2024-09-23
MFP,"Midera Food Processing, Inc.",2026-07-08,
MGEE,"MGE Energy, Inc.",2024-03-18,
MGLN,Magellan Health,,2022-01-05
MGPI,MGP Ingredients,,2025-12-22
MGY,"Magnolia Oil & Gas, Corp.",2024-03-18,
MHK,Mohawk Industries,2025-12-22,
MHO,"M/I Homes, Inc.",,
MIK,The Michaels Companies,,2021-04-15
MIR,"Mirion Technologies, Inc.",2025-09-09,
MKTX,MarketAxess,2025-09-22,
MLAB,Mesa Laboratories,,2025-09-22
MLI,Mueller Industries,,2024-11-26
MLKN,"MillerKnoll, Inc.",2022-10-18,
MMI,"Marcus & Millichap, Inc.",,
MMSI,"Merit Medical Systems, Inc.",,
MNRO,Monro Muffler Brake,,2026-06-22
MNTA,Momenta Pharmaceuticals,,2020-10-01
MODG,Topgolf Callaway Brands,2023-12-18,unknown
MODV,ModivCare,,2024-04-03
MOG-A,Moog Inc.,,2026-03-23
MOH,Molina Healthcare,2026-03-23,2026-07-22
MOV,Movado,,2024-10-01
MP,MP Materials,2024-09-23,2025-09-22
MPAA,Motorcar Parts of America,,2023-03-20
MPT,Medical Properties Trust,,
MPW,Medical Properties Trust,2024-03-18,unknown
MRCY,Mercury Systems,2023-08-21,
MRP,"Millrose Properties, Inc.",2025-02-10,
MRTN,"Marten Transport, Ltd.",,
MSEX,Middlesex Water Company,2021-07-15,
MSGS,Madison Square Garden Sports Corp.,2023-08-01,
MSTR,"MicroStrategy, Inc.",,2021-09-20
MTCH,Match Group,2026-03-23,
MTDR,Matador Resources,2020-06-22,2022-04-04
MTH,Meritage Homes Corporation,,
MTOR,Meritor,,2022-08-04
MTRN,Materion Corp.,,
MTRX,Matrix Service Company,,2021-12-30
MTSC,MTS Systems Corporation,,2021-04-08
MTUS,Metallus Inc,,
MTX,Minerals Technologies,2022-09-19,
MWA,Mueller Water Products,2025-03-24,
MXL,"MaxLinear, Inc.",,
MYE,Myers Industries,,2024-11-27
MYGN,Myriad Genetics,,2026-03-23
MYRG,"MYR Group, Inc.",,
NABL,"N-able, Inc.",2023-04-03,
NARI,Inari Medical,2024-04-01,2025-02-19
NATL,NCR Atleos,2023-10-18,
NAVI,Navient,2023-06-19,
NBHC,National Bank Holdings Corporation,,
NBR,Nabors Industries,,2025-03-24
NBTB,"NBT Bancorp, Inc.",,
NE,Noble Corporation,,2020-06-01
NE,Noble Corporation,2025-09-22,
NEO,"NeoGenomics Laboratories, Inc.",,
NEOG,Neogen,,2020-10-07
NEOG,Neogen,2025-03-24,
NEX,NexTier Oilfield Solutions,2023-03-20,2023-09-01
NFBK,"Northfield Bancorp,",,2024-06-24
NGVT,"Ingevity, Corp.",2023-06-19,
NHC,"National Healthcare, Corp.",2023-12-18,
NHI,"National Health Investors, Inc.",2026-07-01,
NIC,Nicolet Bankshares,2026-06-22,
NKTR,Nektar Therapeutics,2021-12-20,2023-04-05
NMIH,"NMI Holdings, Inc.",,
NOG,"Northern Oil and Gas, Inc.",2023-02-02,
NP,"Neenah, Inc.",,2022-07-05
NPK,"National Presto Industries, Inc.",,
NPO,"EnPro Industries, Inc.",,
NR,"Newpark Resources, Inc.",,2020-10-07
NSA,National Storage Affiliates Trust,,2021-05-14
NSIT,"Insight Enterprises, Inc.",,
NSP,Insperity,2025-12-22,
NSSC,Napco Security Technologies,2026-03-13,
NTCT,"NETSCOUT Systems, Inc.",2021-11-05,
NTGR,Netgear,,2023-09-18
NTST,NETSTREIT Corp.,2026-06-29,
NTUS,Natus Medical,,2022-07-26
NUS,Nu Skin Enterprises,2022-12-01,2024-09-23
NUVA,NuVasive,2022-12-19,2023-09-01
NVEE,NV5 Global,2021-12-02,2025-08-06
NVRI,Enviri,,2026-05-18
NWBI,"Northwest Bancshares, Inc.",,
NWL,Newell Brands,2023-09-18,
NWN,NW Natural,,
NX,Quanex Building Products Corporation,,
NXGN,NextGen Healthcare,,2023-11-13
NXRT,"NexPoint Residential Trust, Inc.",,
NYMT,"New York Mortgage Trust, Inc.",,2025-09-02
OAS,Oasis Petroleum,2019-12-23,2020-10-05
ODP,The ODP Corporation,,2025-04-02
OFG,OFG Bancorp,,
OFIX,Orthofix Medical,,2023-12-18
OGN,Organon & Co.,2023-10-18,
OI,"O-I Glass, Inc.",2021-03-30,
OII,"Oceaneering International, Inc.",,
OIS,Oil States International,,2024-03-18
OMCL,Omnicell,,2022-07-05
OMCL,Omnicell,2023-09-18,
OMI,Owens & Minor,,2025-09-22
ONB,Old National Bancorp,,2022-02-18
ONL,Orion Office REIT,2021-11-16,2023-09-18
ONTO,Onto Innovation,,2023-10-18
OPB,Opus Bank,,2020-06-01
OPI,Office Properties Income Trust,,2023-09-18
OPLN,"OPENLANE, Inc.",2025-12-26,
OPRX,OptimizeRx,2021-10-04,2023-03-20
ORGO,Organogenesis,2021-06-02,2023-03-20
OSIS,"OSI Systems, Inc.",,
OSPN,OneSpan,,2023-12-18
OSUR,OraSure Technologies,,2024-06-24
OSW,OneSpaWorld Holdings Limited,2026-02-10,
OTTR,Otter Tail Corporation,2023-02-23,
OUT,Outfront Media,2022-09-19,
OXM,Oxford Industries,,2026-06-22
PACW,PacWest Bancorp,2023-04-05,2023-11-30
PAHC,Phibro Animal Health,,
PARR,"Par Pacific Holdings, Inc.",,
PATK,"Patrick Industries, Inc.",,
PAYC,Paycom,2026-03-23,
PAYO,Payoneer Global Inc.,2022-10-12,
PBF,PBF Energy,2020-09-21,2022-12-01
PBH,Prestige Consumer Healthcare,2021-01-29,
PBI,"Pitney Bowes, Inc.",,
PCRX,"Pacira BioSciences, Inc.",,
PDCE,"PDC Energy, Inc.",,2022-02-15
PDCO,Patterson Companies,2024-01-05,2025-04-17
PDFS,"PDF Solutions, Inc.",,
PEB,Pebblebrook Hotel Trust,2023-03-20,
PECO,Phillips Edison & Company,2023-06-19,
PEI,Pennsylvania Real Estate,,2020-09-21
PENG,"Penguin Solutions, Inc.",2024-10-15,
PENN,Penn Entertainment,2024-06-24,
PETS,PetMed Express,,2023-06-19
PFBC,Preferred Bank,,
PFS,"Provident Financial Services, Inc.",,
PGNY,"Progyny, Inc.",2024-09-23,
PGTI,PGT Innovations,,2024-04-01
PHIN,"PHINIA, Inc.",2023-07-03,
PI,"Impinj, Inc.",2024-09-23,
PINC,Premier,,2025-11-28
PIPR,Piper Sandler Companies,,
PJT,"PJT Partners, Inc.",2023-12-18,
PKE,Park Aerospace Corp,,2023-03-20
PLAB,"Photronics, Inc.",,
PLAY,Dave & Buster's,,2026-03-23
PLCE,The Children's Place,,2023-06-19
PLMR,"Palomar Holdings, Inc.",2020-06-01,
PLT,Plantronics,2019-12-17,unknown
PLUS,"ePlus, Inc.",,
PLXS,Plexus Corp.,,
PMT,PennyMac Mortgage Investment Trust,,
PNTG,Pennant Group,,2023-03-20
POLY,Plantronics,,2022-09-01
POOL,Pool Corporation,2026-06-22,
POWI,Power Integrations,,2021-12-20
POWI,Power Integrations,2025-12-22,
POWL,"Powell Industries, Inc.",,
PPBI,Pacific Premier Bancorp,,2025-09-02
PPLI,People Inc.,,
PRA,ProAssurance,,2026-06-29
PRAA,PRA Group,,2026-06-22
PRDO,Perdoceo Education Corp.,,
PRFT,Perficient,,2024-10-04
PRG,"PROG Holdings, Inc.",2022-04-06,
PRGO,Perrigo,2025-12-22,
PRGS,Progress Software Corporation,,
PRIM,Primoris Services Corporation,2025-12-22,
PRK,Park National Corp.,,
PRKS,United Parks & Resorts,2025-09-08,
PRLB,Protolabs,,
PRSU,"Pursuit Attractions & Hospitality, Inc.",,
PRVA,"Privia Health Group, Inc.",2023-06-14,
PSMT,PriceSmart,,
PTCT,"PTC Therapeutics, Inc.",2025-11-28,
PTEN,"Patterson-UTI Energy, Inc.",2020-06-01,
PTGX,"Protagonist Therapeutics, Inc.",2024-07-03,
PTON,"Peloton Interactive, Inc.",2026-05-18,
PUMP,ProPetro Holding,,2025-09-22
PZZA,Papa John's Pizza,2023-09-18,
QDEL,QuidelOrtho,2024-07-26,
QEP,QEP Resources,,2021-03-22
QLYS,Qualys,,2020-06-22
QNST,"QuinStreet, Inc.",,
QRVO,Qorvo,2024-12-23,
QTWO,"Q2 Holdings, Inc.",2025-09-22,
QURE,UniQure,2021-09-20,2023-09-18
RAL,Ralliant Corp,2025-07-01,
RAMP,"LiveRamp Holdings, Inc.",2022-06-21,
RAVN,Raven Industries,,2021-12-02
RC,Ready Capital Corp,,2025-12-22
RCM,R1 RCM,2020-09-21,2021-05-07
RCUS,"Arcus Biosciences, Inc.",2022-04-07,
RDN,"Radian Group, Inc.",2023-03-20,
RDNT,"RadNet, Inc.",,
REGI,Renewable Energy Group,,2022-06-16
REI,Ring Energy,,2020-09-01
RELY,Remitly,2026-05-14,
RES,"RPC, Inc.",,
REX,REX American Resources Corporation,,
REYN,Reynolds Consumer Products,2025-09-24,
REZI,"Resideo Technologies, Inc.",2020-06-22,
RGNX,REGENXBIO,,2024-12-23
RGP,Resources Connection,,2024-06-24
RGR,"Sturm, Ruger & Co.",,2025-12-22
RGS,Regis Corporation,,2021-10-11
RH,RH,,2020-01-02
RHI,Robert Half,2024-06-24,
RHP,Ryman Hospitality Properties,2025-03-24,
RILY,B. Riley Financial,2021-04-15,2024-09-23
RITM,Rithm Capital,2026-03-23,
RMAX,RE/MAX,,2023-09-18
RMBS,Rambus,,2023-12-18
RNG,"RingCentral, Inc.",2026-02-12,
RNST,Renasant Corp.,2020-10-07,
ROAD,"Construction Partners, Inc.",2026-07-22,
ROCC,Ranger Oil,,2023-06-23
ROCK,"Gibraltar Industries, Inc.",,
ROG,Rogers Corporation,,
ROIC,Retail Opportunity Investments,,2025-02-13
RPAI,Retail Properties of America,2020-06-30,2021-10-22
RPT,RPT Realty,,2024-01-02
RRC,Range Resources,,2022-03-02
RRD,R.R. Donnelley & Sons,,2020-12-02
RRGB,Red Robin,,2022-06-21
RRR,"Red Rock Resorts, Inc.",2025-11-13,
RSI,"Rush Street Interactive, Inc.",2026-06-22,
RUN,Sunrun,2020-02-04,2020-08-03
RUN,Sunrun,2024-04-01,
RUSHA,Rush Enterprises,2024-01-02,
RUTH,Ruth's Hospitality Group,,2023-06-14
RWT,Redwood Trust,,2026-07-08
RXO,"RXO, Inc.",2023-01-05,
RYAM,Rayonier Advanced Materials,,2023-06-19
SABR,Sabre,2022-12-01,
SAFE,"Safehold, Inc.",,
SAFT,"Safety Insurance Group, Inc.",,
SAH,"Sonic Automotive, Inc.",,
SAIA,"Saia, Inc.",,2021-08-30
SANM,Sanmina Corporation,,2026-06-22
SATS,EchoStar,2024-01-02,2025-03-24
SBCF,Seacoast Banking Corporation of Florida,,
SBH,"Sally Beauty Holdings, Inc.",2020-10-05,
SBSI,"Southside Bancshares, Inc.",,
SCHL,Scholastic Corporation,,
SCL,Stepan Company,,
SCSC,"ScanSource, Inc.",,
SCVL,Shoe Carnival,,2025-12-22
SDGR,"Schrödinger, Inc.",2023-06-19,
SEDG,SolarEdge,2023-12-18,
SEE,Sealed Air,2023-12-18,2026-04-10
SEI,"Solaris Energy Infrastructure, Inc.",2026-07-15,
SEM,Select Medical,,2026-07-01
SENEA,Seneca Foods,,2023-07-03
SEZL,Sezzle,2025-12-15,
SFBS,"ServisFirst Bancshares, Inc.",,
SFNC,Simmons First National Corporation,,
SGH,"Smart Global Holdings, Inc.",,2024-10-15
SHAK,"Shake Shack, Inc.",,
SHEN,Shenandoah Telecommunications Co,,
SHO,"Sunstone Hotel Investors, Inc.",2022-07-21,
SHOO,"Steven Madden, Ltd.",,
SIG,Signet Jewelers,,
SITC,SITE Centers,,2025-12-22
SITM,SiTime,2023-06-19,2026-03-23
SIX,Six Flags,2022-07-26,unknown
SJI,South Jersey Industries,,2023-02-02
SJW,San Jose Water Group,2022-12-19,2025-06-06
SKT,"Tanger Factory Outlet Centers, Inc.",2020-01-27,
SKY,"Champion Homes, Inc.",2024-12-23,
SKYW,"SkyWest, Inc.",,
SLCA,U.S. Silica Holdings,,2024-07-31
SLG,SL Green Realty,2023-03-20,
SLP,Simulations Plus,2020-06-01,2025-09-22
SLQT,SelectQuote,2021-06-10,2022-10-03
SLVM,Sylvamo Corp.,2021-10-04,
SM,SM Energy Company,,
SMP,"Standard Motor Products, Inc.",,
SMPL,Simply Good Foods Company,2020-12-29,
SMTC,Semtech,2022-12-19,2026-06-22
SNBR,Sleep Number,,2023-12-04
SNCY,Sun Country Airlines,2022-07-05,2026-05-14
SNDK,SanDisk,2025-02-25,2025-11-28
SNDR,Schneider National,2024-07-31,
SNEX,StoneX Group Inc.,,
SOLS,Solstice Advanced Materials,2025-12-22,2026-03-23
SONO,"Sonos, Inc.",2022-03-30,
SPHR,Sphere Entertainment,2026-03-23,
SPNT,SiriusPoint Ltd.,,
SPOK,"Spok Holdings, Inc.",,2021-08-04
SPPI,Spectrum Pharmaceuticals,,2022-02-03
SPSC,"SPS Commerce, Inc.",,
SPTN,SpartanNash,,2025-09-24
SPWR,SunPower,2023-06-19,2024-08-09
SPXC,SPX Corporation,,2025-12-22
SRDX,Surmodics,,2023-03-20
SRPT,Sarepta Therapeutics,2025-09-02,
SSD,Simpson Manufacturing Company,,2020-10-07
SSP,E. W. Scripps Company,,2024-04-03
SSTK,Shutterstock,,2026-06-02
STAA,STAAR Surgical Company,2023-08-22,
STAR,iStar,,2023-04-03
STBA,"S&T Bancorp, Inc.",,
STC,Stewart Information Services Corporation,,
STEL,Stellar Bancorp,2022-10-03,2026-07-06
STEP,StepStone Group,2024-06-24,
STMP,"Stamps.com, Inc.",,2021-10-04
STRA,"Strategic Education, Inc.",,2020-06-22
STRA,"Strategic Education, Inc.",2021-08-03,
STRL,Sterling Infrastructure,2025-04-17,2025-11-13
SUPN,"Supernus Pharmaceuticals, Inc.",,
SVC,Service Properties Trust,2021-06-04,2024-12-23
SWI,SolarWinds,2024-08-09,2025-04-16
SWN,Southwestern Energy,2019-12-23,2022-07-06
SXC,SunCoke Energy,,2026-03-23
SXI,Standex International Corporation,,
SXT,Sensient Technologies,2023-09-18,
SYKE,Sykes Enterprises,,2021-08-30
TALO,"Talos Energy, Inc.",,
TBBK,"The Bancorp, Inc.",2021-05-07,
TBI,TrueBlue,,2024-03-18
TCMD,Tactile Systems Technology,,2022-06-21
TDC,Teradata,2025-03-24,
TDS,"Telephone and Data Systems, Inc.",2021-12-20,
TDW,"Tidewater, Inc.",2024-06-24,
TFIN,"Triumph Bancorp, Inc.",,
TFX,Teleflex,2025-03-24,
TG,Tredegar Corporation,,2023-06-19
TGI,Triumph Group,,2025-07-29
TGNA,Tegna Inc.,2024-09-23,2026-03-25
TGTX,"TG Therapeutics, Inc.",2024-09-23,
THRM,Gentherm Incorporated,,
THRY,Thryv,2021-11-24,2025-12-22
THS,TreeHouse Foods,2021-09-03,2026-02-11
TILE,"Interface, Inc.",,
TISI,"Team, Inc",,2021-09-20
TIVO,TiVo Inc.,,2020-06-01
TLRD,Tailored Brands,,2020-06-22
TMDX,"TransMedics Group, Inc.",2024-10-01,
TMP,Tompkins Financial Corporation,,
TNC,Tennant Company,,
TNDM,Tandem Diabetes Care,2023-03-20,
TPC,Tutor Perini Corporation,2026-07-24,
TPH,Tri Pointe Homes,2022-05-03,2026-05-14
TR,"Tootsie Roll Industries, Inc.",2021-12-20,
TREE,LendingTree,2021-10-22,2023-06-19
TRHC,Tabula Rasa HealthCare,,2022-03-02
TRIP,TripAdvisor,2023-09-18,
TRMK,Trustmark Corp.,2021-08-30,
TRN,"Trinity Industries, Inc.",2022-06-21,
TRNO,Terreno Realty Corporation,2024-12-23,
TRST,TrustCo Bank Corp NY,,
TRUP,Trupanion,2020-09-01,
TSE,Trinseo,,2023-09-18
TTEC,TTEC Holdings,,2024-06-24
TTGT,Techtarget,,2025-09-22
TTI,TETRA Technologies,,2020-06-22
TTMI,TTM Technologies,,2026-01-30
TUP,Tupperware Brands,,2022-12-19
TVTY,Tivity Health,,2022-06-29
TWI,"Titan International, Inc.",,2026-04-02
TWNK,Hostess Brands,2022-02-01,2023-11-07
TWO,Two Harbors Investment,2021-06-22,2026-08-03
UA,Under Armour (Class C),,
UAA,Under Armour (Class A),,
UBA,Urstadt Biddle Properties,,2023-08-22
UCB,"United Community Banks, Inc.",,
UCTT,"Ultra Clean Holdings, Inc.",,
UE,Urban Edge Properties,2022-02-18,
UEIC,Universal Electronics Inc,,2023-03-20
UFCS,"United Fire Group, Inc.",,
UFI,Unifi,,2022-11-02
UFPI,UFP Industries,,2023-02-23
UFPT,"UFP Technologies, Inc.",2023-06-19,
UFS,Domtar Corp.,2021-04-20,2021-11-30
UHT,Universal Health Realty Income Trust,,2026-06-22
UIHC,United Insurance Holdings Corp.,,2021-09-20
UIS,Unisys,,2023-03-20
UNF,UniFirst Corporation,,
UNFI,United Natural Foods Inc,,
UNIT,Uniti Group,,2019-12-23
UNIT,Uniti Group,2019-12-23,
UPBD,"Upbound Group, Inc.",,
UPWK,"Upwork, Inc.",2025-11-28,
URBN,"Urban Outfitters, Inc.",2022-06-21,
USCR,U.S. Concrete,,2021-08-30
USLM,"United States Lime & Minerals, Inc.",2026-06-22,
USNA,USANA Health Sciences,,2025-10-31
USPH,"U.S. Physical Therapy, Inc.",,
UTI,Universal Technical Institute,2026-05-27,
UTL,Unitil Corporation,2021-05-03,
UVE,Universal Insurance Holdings,,2023-09-18
UVV,Universal Corporation,,
VAC,Marriott Vacations Worldwide,2025-12-22,
VAL,Valaris,,2020-08-17
VBTX,Veritex Holdings,,2025-10-20
VCEL,Vericel,2021-03-22,
VCTR,"Victory Capital Holdings, Inc.",2025-07-18,
VCYT,"Veracyte, Inc.",2025-07-29,
VECO,Veeco Instruments Inc.,,
VFC,VF Corporation,2024-04-03,2025-03-24
VG,Vonage,,2022-07-21
VGNT,Versigent PLC,2026-04-02,
VGR,Vector Group,,2024-10-09
VIAV,Viavi Solutions,,2026-06-22
VICR,Vicor Corporation,,2021-12-20
VICR,Vicor Corporation,2023-10-20,2026-03-23
VIR,"Vir Biotechnology, Inc.",2022-04-04,
VIRT,"Virtu Financial, Inc.",2024-06-24,
VITL,Vital Farms,2025-12-11,2026-06-22
VIVO,Meridian Bioscience,,2023-01-31
VNDA,Vanda Pharmaceuticals,,2023-09-18
VRA,Vera Bradley,,2022-06-21
VRE,Veris Residential,,2026-05-27
VREX,Varex Imaging,,2024-09-23
VRRM,Verra Mobility Corporation,2023-03-01,
VRTS,"Virtus Investment Partners, Inc.",,
VRTU,Virtusa Corporation,,2021-02-16
VRTV,Veritiv,,2023-11-30
VSAT,"Viasat, Inc.",2023-03-20,
VSCO,Victoria's Secret,2023-06-19,unknown
VSEC,VSE Corporation,2026-03-23,
VSH,Vishay Intertechnology,2024-12-23,
VSI,Vitamin Shoppe,,2019-12-17
VSNT,"Versant Media Group, Inc.",2026-01-07,
VSTS,Vestis,2023-12-18,
VSXY,Victoria's Secret,,
VTLE,Vital Energy,,2025-12-15
VTOL,Bristow Group Inc.,,
VVX,"V2X, Inc.",2026-07-27,
VYX,NCR Voyix,2024-01-02,
WABC,Westamerica Bank,,
WAFD,"WaFd, Inc.",2023-03-20,
WAY,Waystar Holding Corp,2025-09-22,
WD,"Walker & Dunlop, Inc.",,
WDFC,WD-40 Company,,
WDR,Waddell & Reed,,2021-05-03
WEN,The Wendy's Company,2025-09-22,
WERN,Werner Enterprises,2024-06-24,
WGO,"Winnebago Industries, Inc.",,
WHD,"Cactus, Inc.",2024-06-24,
WINA,Winmark,2026-01-26,
WING,Wingstop,,2020-09-21
WIRE,Encore Wire Corporation,,2024-07-03
WKC,World Kinect Corporation,,
WLH,William Lyon Homes,,2020-02-06
WLY,John Wiley & Sons,2023-06-19,
WNC,Wabash National,,2025-03-24
WOLF,Wolfspeed,2024-09-23,2025-07-01
WOR,Worthington Enterprises,2023-11-30,
WPG,Washington Prime Group,,2020-11-13
WRBY,Warby Parker,2026-06-22,
WRLD,World Acceptance Corporation,,
WS,Worthington Steel,2023-12-04,
WSBC,WesBanco,2026-06-22,
WSC,WillScot Holdings Corp.,2025-03-24,
WSFS,WSFS Financial Corporation,2021-03-01,
WSR,Whitestone REIT,,2026-07-08
WT,"WisdomTree Investments, Inc.",,
WTS,Watts Water Technologies,,2022-02-01
WU,Western Union,2025-10-06,
WW,WW International,2021-09-20,2023-03-20
WWW,"Wolverine World Wide, Inc.",,
XHR,"Xenia Hotels & Resorts, Inc.",,
XNCR,Xencor Inc,,
XPEL,"XPEL, Inc.",2022-02-15,
XPER,Xperi,2022-10-03,2024-06-24
XRX,Xerox,2023-09-18,2025-09-22
YELP,"Yelp, Inc.",2022-06-21,
YETI,Yeti Holdings,2020-04-17,2021-01-21
YOU,"Clear Secure, Inc.",2024-09-23,
ZD,Ziff Davis,2024-09-23,
ZEUS,Olympic Steel,,2024-09-23
ZIMV,ZimVie,2022-03-02,2023-03-20
ZUMZ,Zumiez,,2023-06-19
ZWS,Zurn Elkay Water Solutions Corp.,2024-09-23,
ZYXI,Zynex,,2023-09-18
